Date,Manhattan
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,-65.90000000000146
2007-01-01,143.10000000000218
2007-02-01,-16.30000000000109
2007-03-01,66.29999999999927
2007-04-01,-87.89999999999964
2007-05-01,23.200000000000728
2007-06-01,-71.80000000000109
2007-07-01,36.20000000000073
2007-08-01,-32.69999999999891
2007-09-01,26.299999999999272
2007-10-01,156.29999999999927
2007-11-01,-360.7000000000007
2007-12-01,20.80000000000109
2008-01-01,105.70000000000073
2008-02-01,26.599999999998545
2008-03-01,69.20000000000073
2008-04-01,-78.79999999999927
2008-05-01,52.69999999999891
2008-06-01,-78.29999999999927
2008-07-01,11.100000000000364
2008-08-01,-23.400000000001455
2008-09-01,112.40000000000146
2008-10-01,145.49999999999818
2008-11-01,-343.6999999999989
2008-12-01,30.700000000000728
2009-01-01,128.39999999999964
2009-02-01,21.399999999999636
2009-03-01,87.69999999999891
2009-04-01,-45.79999999999927
2009-05-01,48.900000000001455
2009-06-01,-86.60000000000218
2009-07-01,-21.399999999997817
2009-08-01,-66.60000000000218
2009-09-01,120.50000000000182
2009-10-01,134.29999999999927
2009-11-01,-331.10000000000036
2009-12-01,-13.699999999998909
2010-01-01,73.09999999999854
2010-02-01,-68.39999999999964
2010-03-01,137.40000000000146
2010-04-01,39.39999999999782
2010-05-01,1.6000000000021828
2010-06-01,-23.30000000000109
2010-07-01,-10.300000000001091
2010-08-01,-68.59999999999854
2010-09-01,72.60000000000036
2010-10-01,181.89999999999964
2010-11-01,-294.3000000000011
2010-12-01,14.100000000000364
2011-01-01,-15.099999999998545
2011-02-01,-34.80000000000109
2011-03-01,155.39999999999964
2011-04-01,-11.299999999999272
2011-05-01,34.99999999999818
2011-06-01,-11.599999999998545
2011-07-01,-5.099999999998545
2011-08-01,-167.50000000000182
2011-09-01,27.299999999999272
2011-10-01,240.70000000000255
2011-11-01,-98.20000000000255
2011-12-01,-40.89999999999782
2012-01-01,-49.70000000000255
2012-02-01,-21.599999999998545
2012-03-01,139.40000000000146
2012-04-01,-122.80000000000291
2012-05-01,90.40000000000146
2012-06-01,-6.0
2012-07-01,113.40000000000146
2012-08-01,-73.40000000000146
2012-09-01,-95.30000000000109
2012-10-01,108.70000000000073
2012-11-01,-408.9999999999982
2012-12-01,195.29999999999745
2013-01-01,47.70000000000073
2013-02-01,50.600000000000364
2013-03-01,10.100000000000364
2013-04-01,104.0
2013-05-01,-34.600000000000364
2013-06-01,-151.0
2013-07-01,88.0
2013-08-01,45.0
2013-09-01,222.39999999999964
2013-10-01,-101.29999999999927
2013-11-01,-234.20000000000073
2013-12-01,7.200000000000728
2014-01-01,43.69999999999891
2014-02-01,-77.09999999999854
2014-03-01,123.59999999999854
2014-04-01,86.70000000000073
2014-05-01,-7.399999999999636
2014-06-01,-112.60000000000036
2014-07-01,109.60000000000036
2014-08-01,-110.10000000000036
2014-09-01,-22.299999999999272
2014-10-01,188.39999999999782
2014-11-01,-255.79999999999745
2014-12-01,-220.60000000000218
2015-01-01,42.00000000000182
2015-02-01,75.5
2015-03-01,58.29999999999836
2015-04-01,51.80000000000109
2015-05-01,-86.60000000000036
2015-06-01,101.90000000000055
2015-07-01,91.69999999999982
2015-08-01,-90.40000000000055
2015-09-01,94.40000000000055
2015-10-01,281.0
2015-11-01,-256.0000000000009
2015-12-01,-87.59999999999854
2016-01-01,10.799999999999272
2016-02-01,-14.5
2016-03-01,62.69999999999982
2016-04-01,-56.69999999999982
2016-05-01,-6.5
2016-06-01,-80.80000000000018
2016-07-01,-20.5
2016-08-01,65.90000000000055
2016-09-01,54.79999999999927
2016-10-01,75.10000000000036
2016-11-01,-182.5
2016-12-01,4.199999999999818
2017-01-01,52.600000000000364
2017-02-01,-34.30000000000018
2017-03-01,41.69999999999982
2017-04-01,35.80000000000018
2017-05-01,91.60000000000036
2017-06-01,-143.5
2017-07-01,28.899999999999636
2017-08-01,-5.800000000000182
2017-09-01,75.69999999999982
2017-10-01,46.100000000000364
2017-11-01,-94.69999999999982
2017-12-01,3.199999999999818
2018-01-01,28.0
2018-02-01,-60.399999999999636
2018-03-01,-9.400000000000546
2018-04-01,27.800000000000182
2018-05-01,-2.5
2018-06-01,-85.30000000000018
2018-07-01,30.900000000000546
2018-08-01,-22.00000000000091
2018-09-01,-18.099999999999454
2018-10-01,92.19999999999982
2018-11-01,-131.29999999999927
2018-12-01,55.29999999999927
2019-01-01,59.30000000000018
2019-02-01,-21.300000000000182
2019-03-01,17.400000000000546
2019-04-01,101.69999999999982
2019-05-01,-34.70000000000073
2019-06-01,-56.399999999999636
2019-07-01,100.50000000000091
2019-08-01,-53.900000000001455
2019-09-01,2.900000000001455
2019-10-01,55.79999999999927
2019-11-01,-137.60000000000036
2019-12-01,32.600000000000364
2020-01-01,22.899999999999636
2020-02-01,-43.99999999999909
2020-03-01,-44.30000000000109
2020-04-01,-114.69999999999891
2020-05-01,87.39999999999918
2020-06-01,-64.19999999999982
2020-07-01,-32.999999999999545
2020-08-01,15.799999999999272
2020-09-01,110.70000000000073
2020-10-01,85.59999999999945
2020-11-01,-87.09999999999991
2020-12-01,38.80000000000018
2021-01-01,85.69999999999982
2021-02-01,114.5
2021-03-01,-50.499999999999545
2021-04-01,5.699999999999363
2021-05-01,96.40000000000055
2021-06-01,-30.900000000000546
2021-07-01,-34.29999999999973
2021-08-01,-24.59999999999991
2021-09-01,38.0
2021-10-01,4.699999999999818
2021-11-01,-69.69999999999982
2021-12-01,21.799999999999727
